,wiktionaryDumpVersion,translationsWithNoGloss,translationsWithSenseNumberAndTextualGloss,translationsWithSenseNumber,translationsWithTextualGloss,dataSet,observationLanguage,type
0,2020-07-01,15108,0,0,319,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,bg,http://purl.org/linked-data/cube#Observation
0,2020-07-20,15125,0,0,309,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,bg,http://purl.org/linked-data/cube#Observation
0,2020-08-01,15127,0,0,314,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,bg,http://purl.org/linked-data/cube#Observation
0,2021-06-01,17501,0,0,449,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,bg,http://purl.org/linked-data/cube#Observation
0,2020-07-01,302,181095,324,735,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-07-20,302,182448,316,735,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-08-01,302,183532,316,735,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-08-20,308,185379,317,692,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-09-01,308,186443,318,691,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-09-20,306,187806,325,689,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-10-01,307,188486,326,683,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-10-20,313,194272,384,689,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-11-01,313,194819,381,689,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-11-20,313,196026,381,674,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-12-01,313,196607,379,676,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-12-20,314,197707,379,678,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-01-01,315,198164,379,682,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-01-20,315,199139,391,684,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-02-01,317,199555,391,683,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-02-20,317,200747,393,674,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-03-01,308,201144,395,674,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-03-20,308,201913,392,674,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-04-01,310,202343,393,674,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-04-20,310,203290,399,676,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-05-01,309,203673,399,676,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-05-20,300,204212,397,675,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2021-06-01,300,204398,397,676,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,fi,http://purl.org/linked-data/cube#Observation
0,2020-07-01,9453,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-07-20,9460,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-08-01,9460,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-08-20,9465,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-09-01,9466,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-09-20,9467,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-10-01,9468,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-10-20,9467,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-11-01,9465,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-11-20,9465,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-12-01,9465,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2020-12-20,9465,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2021-01-01,9442,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2021-01-20,9443,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2021-02-01,9443,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2021-02-20,9447,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
0,2021-03-01,9443,0,0,0,http://kaiko.getalp.org/dbnary/statistics/translationGlossesCube,id,http://purl.org/linked-data/cube#Observation
